,id,text,lang,timestamp,text_en
0,1.615301206041297e+18,"RT @evrenese: #deprem Mağduriyetimizi anlayacaginizi ve #eyt Kapsam 31.12.1999 olacağı günü dört gözle bekliyoruz.
Syg.
@_cevdetyilmaz
@ekr…",tr,2023-01-17 11:53:18.628,"RT @evrenese: We look forward to the day when you will understand our #earthquake Victimization and #eyt Scope 31.12.1999.
Syg.
@_cevdetyilmaz
@ekr…"
1,1.6153194038261187e+18,今日の日運に、北海道に中規模-大地震を強力に誘発する最主力危険コード100「北海道地震の発生」 https://t.co/7q1ULdUu5x https://t.co/eYn1QylkWR,ja,2023-01-17 13:05:37.998,"Today's day luck, the most important danger code 100 that strongly induces medium-large earthquakes in Hokkaido ""Occurrence of Hokkaido earthquake"" https://t.co/7q1ULdUu5x https://t.co/eYn1QylKWR"
2,1.615319568372859e+18,"RT @andresiniesta8: Todo mi cariño y fuerza para Kobe y toda su gente en esta fecha tan señalada, hoy que se cumplen 28 años del terremoto…",ja,2023-01-17 13:06:16.851,"RT @ andresiniesta8: All my love and strength for Kobe and all his people on this important date, today the 28th anniversary of the earthquake..."
3,1.6153197256802632e+18,"RT @SarahAlainn: What if this world could become a lie
And everything we knew would vanish in a sigh
Still I would close my eyes
Your voice…",en,2023-01-17 13:06:54.955,"RT @SarahAlainn: What if this world could become a lie
And everything we knew would vanish in a sigh
Still I would close my eyes
Your voice…"
4,1.615319867615232e+18,"RT @BEBANEGRA: Un terremoto de magnitud 7.0 ocurrido el 17 de enero de 1929,destruyó la ciudad de Cumaná. El epicentro del sismo se ubicó e…",es,2023-01-17 13:07:28.872,"RT @BEBANEGRA: An earthquake of magnitude 7.0 occurred on January 17, 1929, destroyed the city of Cumaná. The epicenter of the earthquake was located in..."
5,1.6153198983721452e+18,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:07:35.838,RT @VTVcanal8: #EFEMÉRIDE🗓️| The #17 Jan 1929 was recorded in the history of Venezuela after the tragic earthquake of 7.5 that shook the...
6,1.6153198932340408e+18,"RT @NeilLowenthal1: WHOLE LOTTA SHAKIN' GOIN' ON

This rather unsettling video captures the powerful 7.9 earthquake that struck Indonesia e…",en,2023-01-17 13:07:35.225,"RT @NeilLowenthal1: WHOLE LOTTA SHAKIN' GOIN' ON

This rather unsettling video captures the powerful 7.9 earthquake that struck Indonesia e…"
7,1.615319908467835e+18,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:07:37.991,RT @VTVcanal8: #EFEMÉRIDE🗓️| The #17 Jan 1929 was recorded in the history of Venezuela after the tragic earthquake of 7.5 that shook the...
8,1.6153199447401964e+18,"RT @tsukiyominoasa: From @myuchanyes -san:
Photo taken inside the tent (where spent after the earthquake)
28 years later, I wrote what I th…",en,2023-01-17 13:07:46.722,"RT @tsukiyominoasa: From @myuchanyes -san:
Photo taken inside the tent (where spent after the earthquake)
28 years later, I wrote what I th…"
9,1.6153199811133645e+18,f2 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/dHMfO7XCaE,en,2023-01-17 13:07:55.753,f2 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/dHMfO7XCaE
10,1.6153199977435668e+18,@jsanchezcristo Sea como sea..ese señor debe dejar su cargo para defenderse.,es,2023-01-17 13:07:59.738,"@jsanchezcristo Be that as it may, that man must leave his post to defend himself."
11,1.6153200006294774e+18,N9 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/UzRmm6EFqC,en,2023-01-17 13:08:00.842,N9 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/UzRmm6EFqC
12,1.6153200390954312e+18,安岡力也のことディスってる？ https://t.co/V1F8ySZVzD,ja,2023-01-17 13:08:09.811,Are you dissing about Rikiya Yasuoka? https://t.co/V1F8ySZVzD
13,1.6153200373086413e+18,"@jishin_mitate @yuzutogari 私が見た赤い月は夜の８時とか９時くらいかな？

地震が発生する前に磁場が発生するとか何とか言ってました。
その影響では無いかと言う事らしいです。",ja,2023-01-17 13:08:09.483,"@jishin_mitate @yuzutogari I think the red moon I saw was around 8 or 9 at night?

It was said that a magnetic field is generated before an earthquake occurs.
It seems to say that there is no influence."
14,1.6153200602135306e+18,"RT @FUNVISIS: El #16Ene de 1674 a las 3:30 p. m. ocurrió el Terremoto de Los Andes 🇻🇪, M 6,8, este sismo sacudió a Trujillo, Mérida y El To…",es,2023-01-17 13:08:14.783,"RT @FUNVISIS: On #16 Jan 1674 at 3:30 p.m. m. The Los Andes Earthquake 🇻🇪, M 6.8, occurred, this earthquake shook Trujillo, Mérida and El To..."
15,1.6153201135063122e+18,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:08:26.895,RT @enahpiutoficial: #17 Jan 1929 was recorded in the history of Venezuela after the tragic 7.5 earthquake that shook the city of…
16,1.6153201345200374e+18,"@jsanchezcristo Que Renuncie Mindefensa no es digno de ese cargo, que resuelva sus actos de corrupción",es,2023-01-17 13:08:32.023,"@jsanchezcristo That the Ministry of Defense resign is not worthy of that position, that it resolve its acts of corruption"
17,1.6153201676844073e+18,those myriad6 souls destined7 to be engulfed8 in the earthquake of    48 #广州 #上海 #深圳           https://t.co/CqPGqN2nnJ,en,2023-01-17 13:08:39.909,those myriad6 souls destined7 to be engulfed8 in the earthquake of 48 #Guangzhou #Shanghai #Shenzhen https://t.co/CqPGqN2nnJ
18,1.6153201796463657e+18,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:08:42.983,RT @enahpiutoficial: #17 Jan 1929 was recorded in the history of Venezuela after the tragic 7.5 earthquake that shook the city of…
19,1.61532025735834e+18,"RT @NHKWORLD_News: People across Japan are remembering the victims of 1995's Great Hanshin-Awaji Earthquake, which rocked Hyogo Prefecture…",en,2023-01-17 13:09:01.941,"RT @NHKWORLD_News: People across Japan are remembering the victims of 1995's Great Hanshin-Awaji Earthquake, which rocked Hyogo Prefecture…"
